original_strategy,level1,level2,level3
商品策略,商品策略,量化CTA,量化商品
商品策略-CTA+期权,套利策略,期权套利,期权套利
商品策略-中短周期,商品策略,量化CTA,量化商品
商品策略-中短期CTA,商品策略,量化CTA,量化商品
商品策略-中短期CTA-时序为主,商品策略,量化CTA,量化商品
商品策略-中短期CTA-股指40%商品60%,商品策略,量化CTA,量化商品
商品策略-中长期CTA,商品策略,量化CTA,量化商品
商品策略-中长期CTA+1000中性,股票策略,指数增强,指增1000
商品策略-中长期CTA-高波,商品策略,量化CTA,量化商品
商品策略-主观CTA,商品策略,主观CTA,主观商品
商品策略-主观CTA-主观多策略,商品策略,主观CTA,主观商品
商品策略-主观CTA-主观套利,商品策略,主观CTA,主观商品
商品策略-主观CTA-主观趋势,商品策略,主观CTA,主观商品
商品策略-其他衍生品策略-nan,商品策略,量化CTA,量化商品
商品策略-复合策略,多策略,多策略,多策略
商品策略-指数增强,商品策略,量化CTA,量化商品
商品策略-股指CTA,商品策略,量化CTA,量化商品
商品策略-股指策略,商品策略,量化CTA,量化商品
商品策略-量化CTA-量化多策略,商品策略,量化CTA,量化商品
商品策略-量化CTA-量化套利,商品策略,量化CTA,量化商品
商品策略-量化CTA-量化趋势,商品策略,量化CTA,量化商品
商品策略-高频CTA,商品策略,量化CTA,量化商品
商品策略-高频CTA-时序为主,商品策略,量化CTA,量化商品
固收策略,固收策略,纯债,固收
固收策略-中短期纯债型基金,固收策略,纯债,固收
固收策略-信用债策略,固收策略,纯债,固收
固收策略-债券增强,固收策略,固收增强,固收+
固收策略-债券复合,固收策略,纯债,固收
固收策略-债券策略,固收策略,纯债,固收
固收策略-利率债策略,固收策略,纯债,固收
固收策略-协回+城投债,固收策略,纯债,固收
固收策略-固收+,固收策略,固收增强,固收+
固收策略-纯债策略,固收策略,纯债,固收
固收策略-转债+信用债策略,固收策略,纯债,固收
固收策略-转债交易,固收策略,纯债,固收
固收策略-转债策略,固收策略,纯债,固收
固收策略-转债策略-转债增强,固收策略,固收增强,固收+
多策略,多策略,多策略,多策略
多策略-20%CTA+80%alpha,多策略,多策略,多策略
多策略-40%期权+60%空气指增,股票策略,指数增强,其他指增
多策略-50%固收+30%股票+20%期货期权套利,套利策略,期权套利,期权套利
多策略-80%固收+20%权益,固收策略,固收增强,固收+
多策略-CTA+中性,股票策略,中性策略,中性策略
多策略-FOF,多策略,FOF,FOF
多策略-主观量化,多策略,多策略,多策略
多策略-低波稳健FOF,多策略,FOF,FOF
多策略-全天候策略,多策略,多策略,多策略
多策略-复合策略,多策略,多策略,多策略
多策略-套利策略,套利策略,多策略套利,多策略套利
多策略-套利策略50%/商品策略50%,套利策略,多策略套利,多策略套利
多策略-宏观多资产策略,宏观策略,宏观策略,宏观策略
多策略-宏观对冲,股票策略,中性策略,中性策略
多策略-宏观策略,宏观策略,宏观策略,宏观策略
多策略-标准杠杆CTA+70%500指增,股票策略,指数增强,指增500
多策略-货基增强FOF,多策略,FOF,FOF
多策略-进取FOF,多策略,FOF,FOF
套利策略,套利策略,多策略套利,多策略套利
套利策略-ETF套利,套利策略,ETF套利,ETF套利
套利策略-ETF套利-人工,套利策略,ETF套利,ETF套利
套利策略-ETF套利-混合,套利策略,ETF套利,ETF套利
套利策略-ETF套利-量化,套利策略,ETF套利,ETF套利
套利策略-ETF套利-量化-T0对冲-收益互换,股票策略,中性策略,中性策略
套利策略-ETF套利-量化-T0对冲-股指对冲,股票策略,中性策略,中性策略
套利策略-ETF套利/定增套利,套利策略,ETF套利,ETF套利
套利策略-商品+股指套利,套利策略,股指套利,股指套利
套利策略-商品套利,套利策略,商品套利,量化商品套利
套利策略-商品套利-持仓返还,套利策略,商品套利,量化商品套利
套利策略-商品套利-跨期套利,套利策略,商品套利,量化商品套利
套利策略-多资产套利,套利策略,多策略套利,多策略套利
